marker,article,context,provenance,link
1996,A00-2032,"Chinese According to Sproat et al (1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pub lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical ap proach.","Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexi cal rule-based approaches, and approaches that combine lexical information with sta tistical information. The present proposal falls into the last group. Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.",http://www.aclweb.org/anthology/A/A00/A00-2032.pdf
"Sproat et al., 1996",A00-2032,"Proposed applications of segmentation technology include extracting new technical terms, indexing documents for information retrieval, and correcting optical character recognition (OCR) er rors (Wu and Tseng, 1993; Nagao and Mori, 1994; Nagata, 1996a; Nagata, 1996b; Sproat et al., 1996; Fung, 1998).","Chinese word segmentation can be viewed as a stochastic transduction problem. More formally, we start by representing the dictionary D as a Weighted Finite State Trans ducer (WFST) (Pereira, Riley, and Sproat 1994).",http://www.aclweb.org/anthology/A/A00/A00-2032.pdf
"Sproat et al., 1996",E09-1063,"First of all, it is really difficult to build a reliable and objective gold-standard given the fact that there is only 70% agreement between native speakers on this task (Sproat et al., 1996).","The problem with these styles of evaluation is that, as we shall demonstrate, even human judges do not agree perfectly on how to segment a given text. The average agreement among the human judges is .76, and the average agreement between ST and the humans is .75, or about 99% of the interhuman agreement.15 On",http://www.aclweb.org/anthology/E/E09/E09-1063.pdf
1996,J00-3004,"According to Sproat et al {1996) and Wu and Fung {1994), experiments show that only about 75% agreement between native speakers is to be expected on the ""correct"" segmentation, and the figure reduces as more people become involved.","The problem with these styles of evaluation is that, as we shall demonstrate, even human judges do not agree perfectly on how to segment a given text. The average agreement among the human judges is .76, and the average agreement between ST and the humans is .75, or about 99% of the interhuman agreement.15",http://www.aclweb.org/anthology/J/J00/J00-3004.pdf
1996,J00-3004,"Sproat et al (1996) implement special recognizers not only for Chinese names and transliterated foreign names, but for components of morphologically obtained words as well.","This architecture provides a uniform framework in which it is easy to incorporate not only listed dictionary entries but also morphological derivatives, and models for personal names and foreign names in transliteration.",http://www.aclweb.org/anthology/J/J00/J00-3004.pdf
Sproat et al. 1996,J04-1004,"In Chinese text segmentation there are three basic approaches (Sproat et al 1996): pure heuristic, pure statistical, and a hybrid of the two.","Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexi cal rule-based approaches, and approaches that combine lexical information with sta tistical information.",http://www.aclweb.org/anthology/J/J04/J04-1004.pdf
Sproat et al. 1996,J04-1004,"There are several commonly used segmentation methods such as forward maximum matching and backward maximum matching(Teahan et al 2000; Dai, Loh, and Khoo 1999; Sproat et al 1996).","The most popular approach to dealing with seg mentation ambiguities is the maximum matching method, possibly augmented with further heuristics.",http://www.aclweb.org/anthology/J/J04/J04-1004.pdf
Sproat et al. 1996,J04-1004,"In addition, there is no commonly accepted standard for evaluating the performance of word extraction methods, and it is very hard to decide whether a word is meaningful or not (Sproat et al 1996).","Besides the lack of a clear definition of what constitutes a correct segmentation for a given Chinese sentence, there is the more general issue that the test corpora used in these evaluations differ from system to system, so meaningful comparison between systems is rendered even more difficult.",http://www.aclweb.org/anthology/J/J04/J04-1004.pdf
Sproat et al. 1996,J04-1004,"As even human judges differ when facing the task of segmenting a text into words and test corpora differ from system to system (Sproat et al 1996), it is very difficult to compare two methods.","The problem with these styles of evaluation is that, as we shall demonstrate, even human judges do not agree perfectly on how to segment a given text.",http://www.aclweb.org/anthology/J/J04/J04-1004.pdf
1996,J05-4005,"A previous work along this line is Sproat et al (1996), which is based on weighted finite-state transducers (FSTs).",In this paper we have argued that Chinese word segmentation can be modeled ef fectively using weighted finite-state transducers.,http://www.aclweb.org/anthology/J/J05/J05-4005.pdf
1996,J05-4005,"As shown in Sproat et al (1996), the rate of agreement between two human judges is less than 80%.","The average agreement among the human judges is .76, and the average agreement between ST and the humans is .75",http://www.aclweb.org/anthology/J/J05/J05-4005.pdf
1996,J05-4005,"Similarly, Sproat et al (1996) also uses multiple human judges.","The average agreement among the human judges is .76, and the average agreement between ST and the humans is .75",http://www.aclweb.org/anthology/J/J05/J05-4005.pdf
1996,J05-4005,The Chinese person-name model is a modified version of that described in Sproat et al (1996).,"This architecture provides a uniform framework in which it is easy to incorporate not only listed dictionary entries but also morphological derivatives, and models for personal names and foreign names in transliteration.",http://www.aclweb.org/anthology/J/J05/J05-4005.pdf
Sproat et al. 1996,J11-1005,Experiments have shown that there is only about 75% agreement among native speakers regarding the correct word segmentation (Sproat et al 1996).,"The average agreement among the human judges is .76, and the average agreement between ST and the humans is .75",http://www.aclweb.org/anthology/J/J11/J11-1005.pdf
Sproat et al. 1996,J11-3001,"Gold standards, however, 435 cannot be unied into a single standard (Fung and Wu 1994; Sproat et al 1996).","Previous reports on Chinese segmentation have invariably cited performance either in terms of a single percent-correct score, or else a single precision-recall pair. The problem with these styles of evaluation is that, as we shall demonstrate, even human judges do not agree perfectly on how to segment a given text.",http://www.aclweb.org/anthology/J/J11/J11-3001.pdf
Sproat et al. 1996,J96-4004,"Our ap . proach differs from existing work on Chinese word segmentation (Liang 1983; Wang, Wang, and Bai 1991; Fan and Tsai 1988; Chang, Chen, and Chen 1991; Chiang et al 1992; Sproat and Shih 1990; Wu and Su 1993; Lua and Gan 1994; Lai et al 1992; Sproat et al 1994; Sproat et al 1996) primarily in that our system performs sentence inter pretation, in addition to word boundary identification.",Chinese word segmentation can be viewed as a stochastic transduction problem.,http://www.aclweb.org/anthology/J/J96/J96-4004.pdf
Sproat et al. 1996,J97-4004,"Since in written Chinese there is no explicit word delimiter (equivalent to the blank space in written English), the problem of Chinese sentence tokenization has been the focus of considerable research efforts, and significant advancements have been made (e.g., Bai 1995; Zhang et al 1994; Chen and Liu 1992; Chiang et al 1992; Fan and Tsai 1988; Gan 1995; Gan, Palmer, and Lua 1996; Guo 1993; He, Xu, and Sun 1991; Huang 1989; Huang and Xia 1996; Jie 1989; Jie, Liu, and Liang 1991a, 1991b; Jin and Chen 1995; Lai et al 1992; Li et al 1995; Liang 1986, 1987, 1990; Liu 1986a, 1986b; Liu, Tan, and Shen 1994; Lua 1990, 1994, and 1995; Ma 1996; Nie, Jin, and Hannan 1994; Sproat and Shih 1990; Sproat et al 1996;","In Chinese text, individual characters of the script, to which we shall refer by their traditional name of hanzi,Z are written one after another with no intervening spaces; Thus, if one wants to segment words-for any purpose-from Chinese sentences, one faces a more difficult task than one does in English since one cannot use spacing as a guide.",http://www.aclweb.org/anthology/J/J97/J97-4004.pdf
Sproat et al. 1996,J97-4004,"The three tokenization definitions in this section are essentially descriptive restatements of the corresponding constructive tokenization procedures, which in turn are realiza tions of the widely followed principle of maximum tokenization (e.g., Liu 1986; Liang 1986a, 1986b; Wang 1989; Jie 1989; Wang, Su, and Mo 1990; Jie, Liu, and Liang 1991a, b; Yeh and Lee 1991; Webster and Kit 1992; Chen and Liu 1992; Guo 1993; Wu and Su 1993; Nie, Jin, and Hannan 1994; Sproat et al 1996;","The most popular approach to dealing with seg mentation ambiguities is the maximum matching method, possibly augmented with further heuristics.",http://www.aclweb.org/anthology/J/J97/J97-4004.pdf
1996,J97-4004,The weighted finite-state transducer model developed by Sproat et al (1996) is another excellent representative example.,"More formally, we start by representing the dictionary D as a Weighted Finite State Trans ducer (WFST) (Pereira, Riley, and Sproat 1994).",http://www.aclweb.org/anthology/J/J97/J97-4004.pdf
